,Accuracy,Precision,Recall,F1,MCC,PR_AUC,ROC_AUC
XGBoost,0.979,0.6548,0.8088,0.7237,0.7172,0.833,0.9706
GradientBoosting,0.9855,0.8824,0.6618,0.7563,0.7572,0.8014,0.9697
RandomForest,0.983,0.8269,0.6324,0.7167,0.7148,0.7724,0.9611
SVC,0.975,0.6957,0.4706,0.5614,0.5602,0.6024,0.961
LogisticRegression,0.825,0.1421,0.8235,0.2424,0.2955,0.3817,0.9069
GaussianNB,0.958,0.25,0.1176,0.16,0.152,0.2495,0.8468
KNN,0.974,0.8333,0.2941,0.4348,0.4861,0.4589,0.8292
DecisionTree,0.9775,0.6949,0.6029,0.6457,0.6358,0.4325,0.7968
